customer_id,name,email,age,registration_date,last_purchase_date,total_spent
1,Tom White,tom.white@gmail.com,45.202464405574815,2023-08-26,2024-04-27,33.88
2,David Taylor,david.taylor@yahoo.com,29.546468704580235,2023-02-01,2023-09-20,134.44
3,Chris White,chris.white@company.com,34.09544465092681,2023-02-01,,0.0
4,David Davis,david.davis@gmail.com,43.41550792102679,2023-12-08,2024-05-31,87.41
5,Mike Moore,mike.moore@yahoo.com,24.437357710132073,2020-09-09,2021-07-17,5.89
6,Emma Harris,emma.harris@hotmail.com,19.87622850387688,2023-03-05,2023-03-23,42.02
7,Jane Harris,jane.harris@outlook.com,200.0,2023-06-13,,0.0
8,Anna Jackson,anna.jackson@.com,40.600051783592974,2024-01-28,,0.0
9,Anna Thomas,anna.thomas@hotmail.com,53.25207472591256,2024-08-04,2024-11-05,420.0
10,Mark Jackson,mark.jackson@hotmail.com,23.613001750101954,2021-12-02,2022-09-06,1.96
11,Unknown Customer,unknown@email.com,55.9683583749867,2024-08-27,2025-06-26,2055.28
12,Sam Garcia,sam.garcia@company.com,48.62744176619533,2023-07-23,2024-05-19,2.83
13,Julia Brown,julia.brown@outlook.com,21.72447785106039,2024-09-06,2024-09-15,84.1
14,Sarah Thomas,sarah.thomas@company.com,49.6769968051439,2022-08-05,2023-01-16,6.26
15,Unknown Customer,unknown@email.com,31.89374719556202,2024-08-17,2025-02-05,106.41
16,David Thomas,david.thomas@outlook.com,12.052940294962678,2022-05-19,,0.0
17,Sarah Thomas,sarah.thomas@hotmail.com,34.17639144697438,2022-07-28,2022-10-12,293.37
18,Jane Jackson,jane.jackson@yahoo.com,45.93635266609666,2020-07-31,,0.0
19,David Johnson,david.johnson@gmail.com,36.269045495257764,2021-05-22,2022-01-22,182.79
20,Sam Harris,sam.harris@,38.16824097600404,2020-07-23,2020-12-25,6.53
21,Tom Anderson,tom.anderson@hotmail.com,50.268242001281216,2024-03-19,2024-08-28,236.7
22,Unknown Customer,unknown@email.com,33.52749279685131,2020-03-17,2020-12-19,36.4
23,Sarah Johnson,sarah.johnson@gmail.com,36.12046849131981,2021-02-13,,0.0
24,Jane Garcia,jane.garcia@hotmail.com,53.196728663042876,2021-07-04,,0.0
25,Sophie Davis,sophie.davis@outlook.com,42.225419844709805,2023-07-22,2024-05-24,6.79
26,Sam Johnson,sam.johnson@hotmail.com,38.09303048171301,2022-05-30,2023-01-31,414.91
27,Jane Jackson,jane.jackson@hotmail.com,20.098873094220508,2024-01-05,2024-07-10,1272.97
28,Julia Anderson,julia.anderson@hotmail.com,12.106309305471308,2021-07-31,2022-04-30,62.61
29,Anna Thomas,anna.thomas@yahoo.com,24.675379870645976,2022-09-08,2023-01-11,30.86
30,David Martin,david.martin@outlook.com,41.678637494405095,2020-05-21,2020-07-11,16.94
31,David Anderson,david.anderson@outlook.com,18.974221170801307,2023-01-12,2023-12-05,164.5
32,Anna Harris,anna.harris@gmail.com,33.87636573512995,2021-06-28,2021-09-05,256.05
33,Alex Martin,alex.martin@yahoo.com,50.909559770506284,2023-03-27,,0.0
34,John Thomas,john.thomas@outlook.com,16.76784709427789,2022-08-15,2023-05-19,30.87
35,Emma Smith,emma.smith@yahoo.com,1.0141328226731634,2021-09-15,2021-09-30,599.5
36,Emma White,emma.white@hotmail.com,30.06288071460797,2021-12-21,2022-06-18,143.6
37,Emma Brown,emma.brown@hotmail.com,48.84680881106897,2020-09-20,2021-01-17,61.55
38,Mark Wilson,mark.wilson@gmail.com,37.285086679100694,2024-07-18,2024-11-29,88.36
39,Sophie Thomas,sophie.thomas@company.com,40.39062465542041,2022-11-05,,0.0
40,Alex Anderson,alex.anderson@hotmail.com,40.44210455065361,2022-12-18,2022-12-26,12.41
41,John Taylor,john.taylor@hotmail.com,23.212471588943846,2020-03-03,2020-03-07,161.51
42,Emma Wilson,emma.wilson@outlook.com,23.447209216584653,2021-07-14,2021-12-10,13.55
43,Emma Moore,emma.moore@gmail.com,32.52066464364744,2023-08-05,2023-12-26,25.63
44,John Brown,john.brown@company.com,43.57531748763942,2023-09-17,,0.0
45,Julia Brown,julia.brown@company.com,10.400704657070264,2023-07-02,2024-04-20,48.95
46,Sophie Taylor,sophie.taylor@outlook.com,18.539915633234408,2021-08-28,2021-11-28,928.82
47,Chris White,chris.white@hotmail.com,26.48670797086944,2022-04-09,,0.0
48,Sam Jackson,sam.jackson@hotmail.com,28.3334386461576,2023-07-18,2023-10-10,78.04
49,Unknown Customer,unknown@email.com,37.452668379235725,2021-07-11,2022-06-29,15.47
50,Sam Taylor,sam.taylor@hotmail.com,33.87935769320062,2022-07-30,2023-02-12,88.87
51,Tom Davis,tom.davis@gmail.com,28.648014650619547,2023-06-23,,0.0
52,Chris Taylor,chris.taylor@yahoo.com,56.0591968597669,2020-06-05,2021-01-23,130.43
53,Mark Martin,mark.martin@,35.22081956940126,2022-09-11,2022-10-19,334.9
54,Chris White,chris.white@outlook.com,37.703169406970595,2023-01-16,2023-06-08,52.64
55,Anna Johnson,anna.johnson@outlook.com,43.312673061402315,2022-12-25,2023-08-03,18.89
56,Julia Thomas,julia.thomas@hotmail.com,26.203604053712127,2020-02-02,,0.0
57,Anna Harris,anna.harris@gmail.com,56.816743070693896,2021-07-11,2022-07-09,1502.35
58,Sarah Garcia,sarah.garcia@outlook.com,49.40637990168647,2022-04-04,2023-01-06,89.17
59,Sophie Taylor,sophie.taylor@company.com,36.68431843817656,2022-12-14,2023-10-08,15.6
60,Chris Garcia,chris.garcia@hotmail.com,34.32093813320125,2024-03-23,2024-04-07,51.96
61,Alex White,alex.white@yahoo.com,49.62764947752396,2023-04-14,2023-10-27,25.65
62,Sarah Martin,sarah.martin@outlook.com,33.86649542669597,2023-09-02,2023-12-04,371.22
63,Chris Moore,chris.moore@gmail.com,40.03531966428942,2021-10-23,2021-12-14,128.47
64,Alex Garcia,alex.garcia@outlook.com,33.44579303763871,2020-11-05,2021-05-05,34.15
65,Mike Jackson,mike.jackson@hotmail.com,41.958287423541584,2021-05-09,2022-03-13,256.31
66,Sam White,sam.white@yahoo.com,54.79377073188705,2021-08-01,2021-12-14,46.05
67,Emma Thomas,emma.thomas@gmail.com,47.847326719750235,2024-02-19,,0.0
68,Julia Smith,julia.smith@hotmail.com,19.482301474896225,2021-12-31,2022-05-13,50.21
69,Anna Garcia,anna.garcia@hotmail.com,41.86868373410811,2022-08-28,2023-04-05,18.19
70,Mike Smith,mike.smith@outlook.com,31.389683034310085,2024-05-25,2025-02-04,17.99
71,Emma Smith,emma.smith@yahoo.com,20.486276774974336,2021-01-10,2021-07-24,1314.87
72,Jane Johnson,jane.johnson@outlook.com,47.58448551699876,2024-02-15,2024-08-31,236.69
73,Chris Wilson,chris.wilson@gmail.com,54.86488535705954,2022-06-05,2023-05-09,3.6
74,John Brown,john.brown@gmail.com,35.001188262221845,2024-04-04,2024-11-02,13.12
75,David Harris,david.harris@hotmail.com,30.516055060829956,2020-11-24,2021-02-14,9.85
76,Lisa Taylor,lisa.taylor@gmail.com,28.912743072874253,2023-04-05,2024-02-28,59.73
77,Mark Anderson,mark.anderson@company.com,36.00177350623821,2022-11-12,,0.0
78,Sam Moore,sam.moore@,28.760298939109738,2021-04-13,,0.0
79,Sarah Johnson,sarah.johnson@outlook.com,0.0,2020-01-13,2020-11-19,29.3
80,Mark Smith,mark.smith@outlook.com,23.350972549242776,2022-12-11,2023-03-26,519.53
81,Mark Moore,mark.moore@gmail.com,200.0,2024-06-23,2024-07-08,33.45
82,Mike Davis,mike.davis@company.com,51.94936881909706,2023-04-29,2023-11-26,1072.85
83,Sarah Brown,sarah.brown@hotmail.com,45.16124930259792,2021-10-14,,0.0
84,Sam Brown,sam.brown@hotmail.com,9.473270955782056,2021-09-12,2022-08-22,48.15
85,Chris Davis,@chris.davis.com,26.508489262135686,2023-08-16,2024-06-12,1605.29
86,Emma Taylor,emma.taylor@outlook.com,26.453913629887477,2021-02-20,2021-08-04,40.31
87,John White,john.white@hotmail.com,45.10380434542552,2021-02-20,,0.0
88,Alex Johnson,alex.johnson@hotmail.com,30.569513594630646,2021-02-20,,0.0
89,Julia Jackson,julia.jackson@gmail.com,0.11614136814030296,2023-10-11,,0.0
90,Anna Jackson,anna.jackson@yahoo.com,30.502135320538326,2022-09-27,2022-12-01,41.48
91,Sarah Harris,sarah.harris@gmail.com,50.94368993897877,2024-08-02,2025-05-11,228.1
92,John Garcia,john.garcia@hotmail.com,38.75821368637976,2021-08-28,2022-06-06,178.33
93,David White,david.white@hotmail.com,21.147647981204187,2020-08-16,2021-05-09,7.85
94,Alex Brown,alex.brown@outlook.com,13.978054318979371,2021-06-20,2022-01-23,61.92
95,Mike Davis,mike.davis@gmail.com,23.651047271638625,2022-10-31,2023-02-13,28.92
96,Emma Smith,emma.smith@gmail.com,42.29895430021962,2020-05-05,2021-03-31,26.21
97,Mark Smith,mark.smith@outlook.com,22.973395772879304,2024-03-14,2024-04-30,61.47
98,Lisa Anderson,lisa.anderson@company.com,25.970777151763578,2021-09-19,2022-01-26,35.44
99,Mike Garcia,mike.garcia@gmail.com,46.74106534433642,2022-11-03,2023-03-30,71.85
100,Alex Martin,alex.martin@gmail.com,41.26571055120723,2020-10-07,2020-12-18,12.34
101,Julia Johnson,julia.johnson@gmail.com,20.63853624288426,2022-04-16,2022-05-13,5.73
102,Mike Martin,mike.martin@company.com,45.72437227266933,2024-02-15,2024-08-07,243.12
103,John Davis,john.davis@hotmail.com,45.71544644130523,2021-06-04,2021-08-03,313.13
104,David Davis,david.davis@gmail.com,56.955442420593045,2021-03-09,2021-11-23,218.88
105,Emma Taylor,emma.taylor@.com,16.579517029611683,2023-11-10,2024-01-01,57.48
106,John Harris,john.harris@yahoo.com,12.439879593106836,2020-09-13,2020-12-18,31.7
107,Lisa Taylor,lisa.taylor@gmail.com,37.22210644195897,2023-09-30,2024-08-11,21.59
108,Julia Moore,julia.moore@company.com,40.10533837021007,2022-05-07,2023-02-06,16.57
109,Mike Moore,mike.moore@outlook.com,200.0,2021-04-08,2021-11-28,48.23
110,Mark Johnson,mark.johnson@yahoo.com,18.137009710720292,2023-03-21,2023-09-03,300.15
111,John Harris,john.harris@company.com,34.570523768740436,2023-11-23,2024-09-09,19.18
112,John Wilson,john.wilson@.com,26.357250949772585,2023-12-12,2024-06-24,301.03
113,Mike Davis,mike.davis@outlook.com,35.22913663949078,2020-03-14,2020-08-04,6.12
114,Unknown Customer,unknown@email.com,22.92476774809418,2021-05-11,2021-08-09,77.69
115,John Harris,john.harris@company.com,35.001188262221845,2021-05-11,,0.0
116,Tom Garcia,tom.garcia@gmail.com,30.87228714279445,2021-05-11,,0.0
117,Mike Harris,mike.harris@gmail.com,19.97390663042792,2021-01-07,2021-12-06,105.69
118,Unknown Customer,unknown@email.com,44.18971389591461,2023-09-06,2024-01-16,24.99
119,John Garcia,john.garcia@.com,39.40604192280121,2021-07-28,2021-11-03,11.29
120,Mike Harris,mike.harris@company.com,20.184890650589125,2020-12-11,2021-10-11,194.26
121,Sam Martin,sam.martin@outlook.com,35.001188262221845,2023-05-23,,0.0
122,Chris Smith,chris.smith@gmail.com,34.25468804095778,2021-12-19,2022-05-08,58.14
123,Jane Thomas,jane.thomas@outlook.com,49.746071540870645,2023-05-02,2023-06-15,2849.8
124,Lisa Jackson,lisa.jackson@company.com,49.00265450827827,2021-10-25,2022-02-10,308.05
125,Julia Anderson,julia.anderson@outlook.com,41.114435545231174,2020-01-11,2020-08-24,312.27
126,Sam Moore,sam.moore@hotmail.com,34.31491465023837,2022-11-04,2023-07-15,1.5
127,Sam White,sam.white@outlook.com,32.62739189266845,2021-02-14,2021-07-08,19.72
128,Sophie Smith,sophie.smith@outlook.com,45.57347767135431,2022-12-11,2023-06-23,9.62
129,Alex White,alex.white@outlook.com,43.422509375695036,2021-07-30,2022-05-01,2.8
130,Chris Martin,chris.martin@yahoo.com,50.64906152056394,2023-12-22,,0.0
131,Sophie Brown,sophie.brown@gmail.com,57.06522108519648,2023-06-06,2024-02-25,51.55
132,Emma Martin,emma.martin@gmail.com,25.373572589165587,2023-05-18,2023-10-31,186.45
133,Chris Thomas,chris.thomas@,30.495476532882947,2022-01-12,2022-04-09,12.87
134,Sarah Smith,sarah.smith@yahoo.com,37.42746867663547,2023-02-01,2023-03-19,3.01
135,Julia Garcia,julia.garcia@hotmail.com,32.105567002398246,2022-08-31,,0.0
136,Chris Harris,chris.harris@gmail.com,38.4558511391279,2022-12-13,2023-06-06,14.39
137,Chris Moore,chris.moore@company.com,44.402996822567516,2022-11-20,2023-10-08,42.96
138,Sophie Garcia,sophie.garcia@hotmail.com,-5.0,2020-04-14,,0.0
139,Sophie Jackson,sophie.jackson@outlook.com,35.29829004501523,2024-02-28,2024-03-30,38.54
140,Unknown Customer,unknown@email.com,31.394541574186984,2021-10-29,,0.0
141,Unknown Customer,unknown@email.com,36.18966007301749,2021-09-22,2022-02-25,55.47
142,Lisa White,lisa.white@company.com,24.89945664754389,2020-10-25,2021-01-20,102.32
143,John Anderson,john.anderson@gmail.com,31.605359353764495,2020-04-10,,0.0
144,Anna Harris,anna.harrisgmail.com,27.5711271617935,2022-04-15,2023-02-15,53.47
145,Sarah Moore,sarah.moore@outlook.com,47.82751442330166,2022-05-23,2023-02-07,204.08
146,Sarah Garcia,sarah.garcia@yahoo.com,36.094259286125386,2021-03-22,2021-07-01,13.2
147,Chris Anderson,chris.anderson@company.com,25.187414291238433,2023-04-06,2024-03-24,36.25
148,Tom Johnson,tom.johnson@yahoo.com,15.408767051752122,2023-12-29,2024-10-20,131.31
149,Julia Brown,julia.brown@gmail.com,23.996869456040848,2023-05-30,2023-10-07,83.24
150,Sam Brown,sam.brown@company.com,38.91949061078161,2020-10-04,,0.0
151,Chris Jackson,chris.jackson@gmail.com,34.998570217290876,2024-05-16,2024-08-14,853.07
152,Unknown Customer,unknown@email.com,48.00008525493579,2021-04-10,2021-12-02,13.97
153,Chris Thomas,chris.thomas@hotmail.com,29.485412706058924,2024-06-13,2025-05-11,135.12
154,John Jackson,john.jackson@gmail.com,14.14266032545536,2020-01-30,2021-01-12,21.22
155,Sam Johnson,sam.johnson@.com,65.65623591082539,2023-08-04,2023-10-29,18.15
156,Lisa Thomas,lisa.thomas@hotmail.com,27.293664169588748,2023-08-04,,0.0
157,David Smith,david.smith@company.com,49.16589053567553,2020-12-30,2021-08-01,277.76
158,Chris Wilson,chris.wilson@outlook.com,62.34082383835073,2022-06-23,2022-09-22,52.57
159,Chris Brown,chris.brown@company.com,58.65037124861359,2020-05-10,2020-08-04,81.1
160,Mike Wilson,mike.wilson@outlook.com,34.766375611074835,2022-02-27,,0.0
161,Tom Garcia,tom.garcia@gmail.com,39.14090452335021,2020-06-28,2021-02-09,23.61
162,Sam Smith,sam.smith@outlook.com,50.43803742886317,2023-04-01,2023-12-07,25.62
163,Julia Davis,julia.davis@gmail.com,42.18486819191768,2023-01-24,2023-09-08,5.59
164,Sophie Jackson,sophie.jackson@company.com,23.957137642683474,2020-12-30,2021-02-01,71.75
165,Chris Davis,chris.davis@gmail.com,30.509836688117797,2022-03-10,,0.0
166,Julia Wilson,julia.wilson@yahoo.com,33.133211665737974,2023-06-02,2024-05-12,11.54
167,Sophie Moore,sophie.moore@outlook.com,52.11073699549507,2022-09-07,2023-08-17,44.14
168,Jane Davis,jane.davis@outlook.com,28.051455965982207,2020-07-10,2021-04-23,203.72
169,Sophie Brown,sophie.brown@hotmail.com,37.61630110559078,2021-10-20,2022-08-02,3.85
170,John Anderson,john.anderson@outlook.com,23.254229047026328,2022-02-21,2022-03-05,4862.05
171,Sarah Anderson,sarah.anderson@outlook.com,19.991647244141284,2021-08-07,2022-04-08,17.64
172,Jane Smith,jane.smith@gmail.com,35.263325698583984,2022-05-15,2022-11-19,46.04
173,Mark Davis,mark.davis@company.com,23.86659069127087,2023-05-18,2023-08-17,80.94
174,Jane Brown,jane.brown@yahoo.com,32.12747778189302,2022-10-11,2023-06-24,16.84
175,John Martin,john.martin@company.com,58.913991503240354,2024-07-16,2025-04-18,26.95
176,David Harris,david.harrisgmail.com,25.648452805742817,2024-09-18,2024-11-28,293.47
177,John Anderson,john.anderson@gmail.com,64.33499303099008,2022-05-09,2022-09-16,169.96
178,Anna Martin,anna.martin@outlook.com,28.49261194684803,2023-06-30,,0.0
179,Sam Garcia,sam.garcia@hotmail.com,21.587004152885896,2023-01-04,,0.0
180,Unknown Customer,unknown@email.com,30.69555472341297,2020-05-28,2021-03-15,37.38
181,Mike Taylor,mike.taylor@company.com,46.950463719907134,2023-05-19,2024-01-28,54.45
182,Emma Martin,emma.martin@.com,38.059961008095186,2024-09-04,2024-11-04,67.35
183,Sophie Garcia,sophie.garcia@yahoo.com,36.487009116111736,2021-01-10,2021-11-26,125.98
184,Alex Taylor,alex.taylorgmail.com,25.499487793188862,2020-12-21,2021-11-11,140.94
185,David Johnson,david.johnson@hotmail.com,32.339737040011194,2023-07-20,,0.0
186,Tom Anderson,tom.anderson@company.com,21.207540677409526,2022-10-01,,0.0
187,David Martin,david.martin@company.com,49.429732971836096,2023-10-04,2024-09-02,135.11
188,Sophie Wilson,sophie.wilson@gmail.com,38.805763816525705,2023-12-03,2024-01-26,29.52
189,Mike Smith,mike.smith@gmail.com,26.519242837769127,2023-02-08,2023-05-21,64.17
190,Sarah Johnson,sarah.johnson@gmail.com,45.78378150421881,2023-01-17,2023-11-17,244.04
191,Emma Taylor,emma.taylor@,41.7149247381256,2022-03-04,2022-10-12,1494.73
